name,role,faculty,userID,password
CHERN,Student,SCSE,YCHERN,password
KOH,Student,ADM,KOH1,password
BRANDON,Student,EEE,BR015,password
CALVIN,Student,SCSE,CT113,password
CHAN,Student,NBS,YCN019,password
DENISE,Student,SCSE,DL007,password
DONG,Student,ADM,DON84,password
ERNEST,Student,EEE,ELI34,password
LEE,Student,SCSE,LE51,password
LIU,CampCommittee,NBS,SL22,password
RAWAL,Student,SSS,AKY013,password
Madhukumar,Staff,SCSE,HUKUMAR,password
Alexei,Staff,ADM,OURIN,password
Chattopadhyay,Staff,EEE,UPAM,password
Datta,Staff,SCSE,ANWIT,password
Arvind,Staff,NBS,ARVI,123
